director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,combo
Scott Speer,Drama Music Romance,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,step up revolution,Scott Speer Ryan Guzman Stephen Boss Misha Gabriel Hamilton Drama Music Romance
Joe Charbanic,Crime Horror Mystery Thriller,Keanu Reeves,Joseph Sikora,Chris Ellis,the watcher,Joe Charbanic Keanu Reeves Joseph Sikora Chris Ellis Crime Horror Mystery Thriller
Jonathan Hensleigh,Action Crime Drama Thriller,Laura Harring,Marco St. John,Eddie Jemison,the punisher,Jonathan Hensleigh Laura Harring Marco St. John Eddie Jemison Action Crime Drama Thriller
Danny Cannon,Drama Romance Sport,Sean Pertwee,Kuno Becker,Stephen Dillane,goal! the dream begins,Danny Cannon Sean Pertwee Kuno Becker Stephen Dillane Drama Romance Sport
Boaz Yakin,Action Crime Thriller,Jason Statham,Reggie Lee,Robert John Burke,safe,Boaz Yakin Jason Statham Reggie Lee Robert John Burke Action Crime Thriller
Mike Newell,Comedy Drama Romance,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,pushing tin,Mike Newell Angelina Jolie Pitt Kurt Fuller Jake Weber Comedy Drama Romance
Richard Marquand,Action Adventure Fantasy Sci-Fi,Harrison Ford,Ian McDiarmid,Kenny Baker,star wars: episode vi - return of the jedi,Richard Marquand Harrison Ford Ian McDiarmid Kenny Baker Action Adventure Fantasy Sci-Fi
Neil Marshall,Action Sci-Fi Thriller,Ryan Kruger,Jason Cope,Jeremy Crutchley,doomsday,Neil Marshall Ryan Kruger Jason Cope Jeremy Crutchley Action Sci-Fi Thriller
Stephen Daldry,Drama Romance,Kate Winslet,David Kross,Susanne Lothar,the reader,Stephen Daldry Kate Winslet David Kross Susanne Lothar Drama Romance
David Wain,Comedy,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,wanderlust,David Wain Justin Theroux Lauren Ambrose Joe Lo Truglio Comedy
Jon Favreau,Comedy Family Fantasy Romance,Peter Dinklage,Zooey Deschanel,Will Ferrell,elf,Jon Favreau Peter Dinklage Zooey Deschanel Will Ferrell Comedy Family Fantasy Romance
Jon Turteltaub,Drama Fantasy Romance Sci-Fi,Robert Duvall,Kyra Sedgwick,David Gallagher,phenomenon,Jon Turteltaub Robert Duvall Kyra Sedgwick David Gallagher Drama Fantasy Romance Sci-Fi
Brian Levant,Adventure Comedy Family Sport,James Coburn,Nichelle Nichols,M. Emmet Walsh,snow dogs,Brian Levant James Coburn Nichelle Nichols M. Emmet Walsh Adventure Comedy Family Sport
Richard Donner,Comedy Drama Fantasy,Bill Murray,Alfre Woodard,Robert Mitchum,scrooged,Richard Donner Bill Murray Alfre Woodard Robert Mitchum Comedy Drama Fantasy
Jared Hess,Comedy Family Sport,Ana de la Reguera,Moises Arias,Héctor Jiménez,nacho libre,Jared Hess Ana de la Reguera Moises Arias Héctor Jiménez Comedy Family Sport
Paul Feig,Comedy Romance,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,bridesmaids,Paul Feig Matt Lucas Wendi McLendon-Covey Steve Bannos Comedy Romance
Evan Goldberg,Comedy Fantasy,Channing Tatum,James Franco,Emma Watson,this is the end,Evan Goldberg Channing Tatum James Franco Emma Watson Comedy Fantasy
Rupert Wainwright,Horror,Nia Long,Enrico Colantoni,Portia de Rossi,stigmata,Rupert Wainwright Nia Long Enrico Colantoni Portia de Rossi Horror
George Tillman Jr.,Biography Drama,Robert De Niro,Charlize Theron,Michael Rapaport,men of honor,George Tillman Jr. Robert De Niro Charlize Theron Michael Rapaport Biography Drama
John Luessenhop,Action Crime Thriller,Paul Walker,Hayden Christensen,Jay Hernandez,takers,John Luessenhop Paul Walker Hayden Christensen Jay Hernandez Action Crime Thriller
Justin Zackham,Comedy,Robin Williams,Robert De Niro,Topher Grace,the big wedding,Justin Zackham Robin Williams Robert De Niro Topher Grace Comedy
John Whitesell,Action Comedy Crime,Brandon T. Jackson,Tony Curran,Portia Doubleday,"big mommas: like father, like son",John Whitesell Brandon T. Jackson Tony Curran Portia Doubleday Action Comedy Crime
Duncan Jones,Mystery Sci-Fi Thriller,Jake Gyllenhaal,Cas Anvar,Russell Peters,source code,Duncan Jones Jake Gyllenhaal Cas Anvar Russell Peters Mystery Sci-Fi Thriller
Frank Marshall,Adventure Biography Drama Thriller,Illeana Douglas,Danny Nucci,Michael DeLorenzo,alive,Frank Marshall Illeana Douglas Danny Nucci Michael DeLorenzo Adventure Biography Drama Thriller
Joel Schumacher,Mystery Thriller,Logan Lerman,Virginia Madsen,Ed Lauter,the number 23,Joel Schumacher Logan Lerman Virginia Madsen Ed Lauter Mystery Thriller
Jean-Pierre Jeunet,Action Adventure Drama Family,Callum Rennie,Julian Richings,Judy Davis,the young and prodigious t.s. spivet,Jean-Pierre Jeunet Callum Rennie Julian Richings Judy Davis Action Adventure Drama Family
Steven Spielberg,Action Comedy War,Christopher Lee,John Belushi,Treat Williams,1941,Steven Spielberg Christopher Lee John Belushi Treat Williams Action Comedy War
John Gatins,Drama Family Sport,Ken Howard,Freddy Rodríguez,Holmes Osborne,dreamer: inspired by a true story,John Gatins Ken Howard Freddy Rodríguez Holmes Osborne Drama Family Sport
David Cronenberg,Crime Drama Thriller,Viggo Mortensen,Kyle Schmid,William Hurt,a history of violence,David Cronenberg Viggo Mortensen Kyle Schmid William Hurt Crime Drama Thriller
Louis Leterrier,Action Crime Thriller,Jason Statham,Jason Flemyng,Matthew Modine,transporter 2,Louis Leterrier Jason Statham Jason Flemyng Matthew Modine Action Crime Thriller
Sam Raimi,Action Thriller Western,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,the quick and the dead,Sam Raimi Leonardo DiCaprio Pat Hingle Roberts Blossom Action Thriller Western
Peter Howitt,Comedy Romance,Frances Fisher,Mike Doyle,Nora Dunn,laws of attraction,Peter Howitt Frances Fisher Mike Doyle Nora Dunn Comedy Romance
Martin Scorsese,Drama Thriller,Nicolas Cage,Marc Anthony,Sonja Sohn,bringing out the dead,Martin Scorsese Nicolas Cage Marc Anthony Sonja Sohn Drama Thriller
Miguel Sapochnik,Action Crime Sci-Fi Thriller,Alice Braga,RZA,Yvette Nicole Brown,repo men,Miguel Sapochnik Alice Braga RZA Yvette Nicole Brown Action Crime Sci-Fi Thriller
Hyung-rae Shim,Action Drama Fantasy Horror Thriller,Robert Forster,Aimee Garcia,Chris Mulkey,dragon wars: d-war,Hyung-rae Shim Robert Forster Aimee Garcia Chris Mulkey Action Drama Fantasy Horror Thriller
Norman Jewison,Comedy Family Fantasy,Haley Joel Osment,Nancy Travis,Andrea Martin,bogus,Norman Jewison Haley Joel Osment Nancy Travis Andrea Martin Comedy Family Fantasy
Don Scardino,Comedy,Steve Buscemi,Olivia Wilde,Steve Carell,the incredible burt wonderstone,Don Scardino Steve Buscemi Olivia Wilde Steve Carell Comedy
Mark Dindal,Animation Comedy Family Fantasy Musical,George Kennedy,Frank Welker,Hal Holbrook,cats don't dance,Mark Dindal George Kennedy Frank Welker Hal Holbrook Animation Comedy Family Fantasy Musical
Tim Robbins,Drama,Bill Murray,Vanessa Redgrave,Emily Watson,cradle will rock,Tim Robbins Bill Murray Vanessa Redgrave Emily Watson Drama
Steven Soderbergh,Drama Mystery Thriller,Tony Curran,Beau Bridges,Leland Orser,the good german,Steven Soderbergh Tony Curran Beau Bridges Leland Orser Drama Mystery Thriller
Tom Reeve,Action Adventure Comedy Fantasy Romance,Joan Plowright,Rollo Weeks,Simon Callow,george and the dragon,Tom Reeve Joan Plowright Rollo Weeks Simon Callow Action Adventure Comedy Fantasy Romance
Francis Ford Coppola,Drama War,Harrison Ford,Marlon Brando,Robert Duvall,apocalypse now,Francis Ford Coppola Harrison Ford Marlon Brando Robert Duvall Drama War
Nanette Burstein,Comedy Romance,Rob Riggle,Kelli Garner,Jim Gaffigan,going the distance,Nanette Burstein Rob Riggle Kelli Garner Jim Gaffigan Comedy Romance
Stephen Herek,Drama Music,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,mr. holland's opus,Stephen Herek Alicia Witt Olympia Dukakis Jean Louisa Kelly Drama Music
Ariel Vromen,Action Crime Drama Mystery Sci-Fi Thriller,Gary Oldman,Jordi Mollà,Doug Cockle,criminal,Ariel Vromen Gary Oldman Jordi Mollà Doug Cockle Action Crime Drama Mystery Sci-Fi Thriller
Sydney Pollack,Biography Drama Romance,Meryl Streep,Michael Gough,Michael Kitchen,out of africa,Sydney Pollack Meryl Streep Michael Gough Michael Kitchen Biography Drama Romance
Robert Zemeckis,Drama Thriller,Denzel Washington,Bruce Greenwood,Nadine Velazquez,flight,Robert Zemeckis Denzel Washington Bruce Greenwood Nadine Velazquez Drama Thriller
Lewis Gilbert,Action Adventure Sci-Fi Thriller,Desmond Llewelyn,Lois Chiles,Lois Maxwell,moonraker,Lewis Gilbert Desmond Llewelyn Lois Chiles Lois Maxwell Action Adventure Sci-Fi Thriller
Wes Anderson,Adventure Comedy Crime Drama,Bill Murray,Tom Wilkinson,F. Murray Abraham,the grand budapest hotel,Wes Anderson Bill Murray Tom Wilkinson F. Murray Abraham Adventure Comedy Crime Drama
Scott Hicks,Drama Mystery,Anthony Hopkins,Mika Boorem,Hope Davis,hearts in atlantis,Scott Hicks Anthony Hopkins Mika Boorem Hope Davis Drama Mystery
Frank Marshall,Comedy Fantasy Horror Thriller,Julian Sands,Peter Jason,Brian McNamara,arachnophobia,Frank Marshall Julian Sands Peter Jason Brian McNamara Comedy Fantasy Horror Thriller
Gregory Hoblit,Crime Drama Mystery Sci-Fi Thriller,Dennis Quaid,Andre Braugher,Noah Emmerich,frequency,Gregory Hoblit Dennis Quaid Andre Braugher Noah Emmerich Crime Drama Mystery Sci-Fi Thriller
Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,ghostbusters,Paul Feig Ed Begley Jr. Kate McKinnon Zach Woods Action Comedy Fantasy Sci-Fi
John Francis Daley,Adventure Comedy,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,vacation,John Francis Daley Chris Hemsworth Norman Reedus Beverly D'Angelo Adventure Comedy
Barry Sonnenfeld,Comedy Crime Thriller,Delroy Lindo,Rene Russo,Jon Gries,get shorty,Barry Sonnenfeld Delroy Lindo Rene Russo Jon Gries Comedy Crime Thriller
Rob Marshall,Comedy Crime Musical,Colm Feore,Chita Rivera,Jayne Eastwood,chicago,Rob Marshall Colm Feore Chita Rivera Jayne Eastwood Comedy Crime Musical
Dennis Dugan,Comedy Drama,Steve Buscemi,Adam Sandler,Joey Lauren Adams,big daddy,Dennis Dugan Steve Buscemi Adam Sandler Joey Lauren Adams Comedy Drama
J.B. Rogers,Comedy,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,american pie 2,J.B. Rogers Alyson Hannigan Shannon Elizabeth Natasha Lyonne Comedy
John Lasseter,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Jim Varney,toy story,John Lasseter Tom Hanks John Ratzenberger Jim Varney Adventure Animation Comedy Family Fantasy
Jan de Bont,Action Adventure Crime Thriller,Keanu Reeves,Alan Ruck,Joe Morton,speed,Jan de Bont Keanu Reeves Alan Ruck Joe Morton Action Adventure Crime Thriller
Michael Sucsy,Drama Romance,Channing Tatum,Lucas Bryant,Dillon Casey,the vow,Michael Sucsy Channing Tatum Lucas Bryant Dillon Casey Drama Romance
Tom Vaughan,Drama,Harrison Ford,Brendan Fraser,Alan Ruck,extraordinary measures,Tom Vaughan Harrison Ford Brendan Fraser Alan Ruck Drama
Boaz Yakin,Biography Drama Sport,Ryan Gosling,Denzel Washington,Ethan Suplee,remember the titans,Boaz Yakin Ryan Gosling Denzel Washington Ethan Suplee Biography Drama Sport
John McTiernan,Action Adventure Thriller,Scott Glenn,Jeffrey Jones,Courtney B. Vance,the hunt for red october,John McTiernan Scott Glenn Jeffrey Jones Courtney B. Vance Action Adventure Thriller
Lee Daniels,Biography Drama,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,lee daniels' the butler,Lee Daniels Alex Pettyfer David Oyelowo Vanessa Redgrave Biography Drama
Barry Sonnenfeld,Comedy Fantasy,Anjelica Huston,Raul Julia,Carel Struycken,the addams family,Barry Sonnenfeld Anjelica Huston Raul Julia Carel Struycken Comedy Fantasy
Steve Oedekerk,Adventure Comedy,Bruce Spence,Bob Gunton,Sophie Okonedo,ace ventura: when nature calls,Steve Oedekerk Bruce Spence Bob Gunton Sophie Okonedo Adventure Comedy
Garry Marshall,Comedy Family Romance,Anne Hathaway,Hector Elizondo,Heather Matarazzo,the princess diaries,Garry Marshall Anne Hathaway Hector Elizondo Heather Matarazzo Comedy Family Romance
Hugh Wilson,Comedy,Stockard Channing,Elizabeth Berkley,Stephen Collins,the first wives club,Hugh Wilson Stockard Channing Elizabeth Berkley Stephen Collins Comedy
David Fincher,Crime Drama Mystery Thriller,Morgan Freeman,Brad Pitt,Reg E. Cathey,se7en,David Fincher Morgan Freeman Brad Pitt Reg E. Cathey Crime Drama Mystery Thriller
Neill Blomkamp,Action Sci-Fi Thriller,Sharlto Copley,Jed Brophy,Jason Cope,district 9,Neill Blomkamp Sharlto Copley Jed Brophy Jason Cope Action Sci-Fi Thriller
Stephen Hillenburg,Adventure Animation Comedy Family Fantasy,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,the spongebob squarepants movie,Stephen Hillenburg Scarlett Johansson Bill Fagerbakke Rodger Bumpass Adventure Animation Comedy Family Fantasy
Clint Eastwood,Crime Drama Mystery Thriller,John Doman,Spencer Treat Clark,Tom Guiry,mystic river,Clint Eastwood John Doman Spencer Treat Clark Tom Guiry Crime Drama Mystery Thriller
Clint Eastwood,Drama Sport,Clint Eastwood,Morgan Freeman,Mike Colter,million dollar baby,Clint Eastwood Clint Eastwood Morgan Freeman Mike Colter Drama Sport
Harold Ramis,Comedy Crime,Robert De Niro,Chazz Palminteri,Molly Shannon,analyze this,Harold Ramis Robert De Niro Chazz Palminteri Molly Shannon Comedy Crime
Nick Cassavetes,Drama Romance,Ryan Gosling,Kevin Connolly,Gena Rowlands,the notebook,Nick Cassavetes Ryan Gosling Kevin Connolly Gena Rowlands Drama Romance
Anne Fletcher,Comedy Romance,Judy Greer,Bern Cohen,Yetta Gottesman,27 dresses,Anne Fletcher Judy Greer Bern Cohen Yetta Gottesman Comedy Romance
Peter Chelsom,Comedy Drama Family Music Romance,Emily Osment,Vanessa Williams,Moises Arias,hannah montana: the movie,Peter Chelsom Emily Osment Vanessa Williams Moises Arias Comedy Drama Family Music Romance
Stig Bergqvist,Adventure Animation Comedy Family Romance,Elizabeth Daily,Casey Kasem,Debbie Reynolds,rugrats in paris: the movie,Stig Bergqvist Elizabeth Daily Casey Kasem Debbie Reynolds Adventure Animation Comedy Family Romance
Barbra Streisand,Drama Romance,George Carlin,Blythe Danner,Melinda Dillon,the prince of tides,Barbra Streisand George Carlin Blythe Danner Melinda Dillon Drama Romance
Edward Zwick,Drama Romance War Western,Anthony Hopkins,Brad Pitt,Julia Ormond,legends of the fall,Edward Zwick Anthony Hopkins Brad Pitt Julia Ormond Drama Romance War Western
Jason Reitman,Drama Romance,J.K. Simmons,Anna Kendrick,Chris Lowell,up in the air,Jason Reitman J.K. Simmons Anna Kendrick Chris Lowell Drama Romance
Alexander Payne,Comedy Drama,Hope Davis,June Squibb,Howard Hesseman,about schmidt,Alexander Payne Hope Davis June Squibb Howard Hesseman Comedy Drama
Jonathan Levine,Comedy Horror Romance,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,warm bodies,Jonathan Levine Cory Hardrict Vincent Leclerc Daniel Rindress-Kay Comedy Horror Romance
Rian Johnson,Action Crime Drama Sci-Fi Thriller,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,looper,Rian Johnson Joseph Gordon-Levitt Bruce Willis Tracie Thoms Action Crime Drama Sci-Fi Thriller
Chris Weitz,Comedy Fantasy,Chazz Palminteri,Mark Addy,Wanda Sykes,down to earth,Chris Weitz Chazz Palminteri Mark Addy Wanda Sykes Comedy Fantasy
Chris Noonan,Comedy Drama Family,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,babe,Chris Noonan Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne Comedy Drama Family
David Frankel,Comedy Drama Romance,Meryl Streep,Steve Carell,Jean Smart,hope springs,David Frankel Meryl Streep Steve Carell Jean Smart Comedy Drama Romance
Nicholas Stoller,Comedy Drama Romance,Mila Kunis,Jack McBrayer,Maria Thayer,forgetting sarah marshall,Nicholas Stoller Mila Kunis Jack McBrayer Maria Thayer Comedy Drama Romance
unknown,Drama Sport,Zach Gilford,Aimee Teegarden,Scott Porter,friday night lights            ,unknown Zach Gilford Aimee Teegarden Scott Porter Drama Sport
John Singleton,Action Crime Drama Mystery Thriller,Josh Charles,Tony Nappo,Fionnula Flanagan,four brothers,John Singleton Josh Charles Tony Nappo Fionnula Flanagan Action Crime Drama Mystery Thriller
Michael McCullers,Comedy Romance,Tina Fey,Amy Poehler,Romany Malco,baby mama,Michael McCullers Tina Fey Amy Poehler Romany Malco Comedy Romance
Forest Whitaker,Drama Romance,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,hope floats,Forest Whitaker Bill Cobbs Harry Connick Jr. Gena Rowlands Drama Romance
Gary Winick,Comedy Romance,Anne Hathaway,Steve Howey,Candice Bergen,bride wars,Gary Winick Anne Hathaway Steve Howey Candice Bergen Comedy Romance
Steven Brill,Adventure Comedy Mystery,Antony Starr,Scott Adsit,Bonnie Somerville,without a paddle,Steven Brill Antony Starr Scott Adsit Bonnie Somerville Adventure Comedy Mystery
Gary Winick,Comedy Fantasy Romance,Jennifer Garner,Judy Greer,Christa B. Allen,13 going on 30,Gary Winick Jennifer Garner Judy Greer Christa B. Allen Comedy Fantasy Romance
Woody Allen,Comedy Fantasy Romance,Kurt Fuller,Audrey Fleurot,Nina Arianda,midnight in paris,Woody Allen Kurt Fuller Audrey Fleurot Nina Arianda Comedy Fantasy Romance
Peter Lepeniotis,Adventure Animation Comedy Family,Liam Neeson,Brendan Fraser,Sarah Gadon,the nut job,Peter Lepeniotis Liam Neeson Brendan Fraser Sarah Gadon Adventure Animation Comedy Family
Ted Demme,Biography Crime Drama,Johnny Depp,Ethan Suplee,Jordi Mollà,blow,Ted Demme Johnny Depp Ethan Suplee Jordi Mollà Biography Crime Drama
Luis Mandoki,Drama Romance,Robin Wright,John Savage,Raphael Sbarge,message in a bottle,Luis Mandoki Robin Wright John Savage Raphael Sbarge Drama Romance
William Shatner,Action Adventure Sci-Fi Thriller,Leonard Nimoy,Nichelle Nichols,Walter Koenig,star trek v: the final frontier,William Shatner Leonard Nimoy Nichelle Nichols Walter Koenig Action Adventure Sci-Fi Thriller
John Schultz,Comedy Family Fantasy Sport,Brenda Song,Robert Forster,Anne Meara,like mike,John Schultz Brenda Song Robert Forster Anne Meara Comedy Family Fantasy Sport
Peter Segal,Comedy Crime,George Kennedy,Fred Ward,Priscilla Presley,naked gun 33 1/3: the final insult,Peter Segal George Kennedy Fred Ward Priscilla Presley Comedy Crime
John Glen,Action Adventure Thriller,Patrick Macnee,Alison Doody,Tanya Roberts,a view to a kill,John Glen Patrick Macnee Alison Doody Tanya Roberts Action Adventure Thriller
Steve Box,Animation Comedy Family Mystery Sci-Fi,Mark Gatiss,Geraldine McEwan,Peter Sallis,the curse of the were-rabbit,Steve Box Mark Gatiss Geraldine McEwan Peter Sallis Animation Comedy Family Mystery Sci-Fi
Richard LaGravenese,Drama Romance,Gerard Butler,Harry Connick Jr.,Nellie McKay,p.s. i love you,Richard LaGravenese Gerard Butler Harry Connick Jr. Nellie McKay Drama Romance
Frederik Du Chau,Adventure Comedy Drama Family Sport,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,racing stripes,Frederik Du Chau Bruce Greenwood Frankie Muniz M. Emmet Walsh Adventure Comedy Drama Family Sport
Joe Wright,Drama Mystery Romance War,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,atonement,Joe Wright Benedict Cumberbatch Alfie Allen Brenda Blethyn Drama Mystery Romance War
Gary Winick,Comedy Drama Romance,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,letters to juliet,Gary Winick Vanessa Redgrave Marcia DeBonis Luisa Ranieri Comedy Drama Romance
Ridley Scott,Action Crime Thriller,Stephen Root,Ken Takakura,Kate Capshaw,black rain,Ridley Scott Stephen Root Ken Takakura Kate Capshaw Action Crime Thriller
Bobby Farrelly,Comedy,Kate Upton,Larry David,Sean Hayes,the three stooges,Bobby Farrelly Kate Upton Larry David Sean Hayes Comedy
Tim Burton,Animation Drama Family Fantasy Musical Romance,Johnny Depp,Christopher Lee,Joanna Lumley,corpse bride,Tim Burton Johnny Depp Christopher Lee Joanna Lumley Animation Drama Family Fantasy Musical Romance
James Gartner,Biography Drama Sport,Mehcad Brooks,Austin Nichols,Derek Luke,glory road,James Gartner Mehcad Brooks Austin Nichols Derek Luke Biography Drama Sport
Denis Villeneuve,Action Crime Drama Mystery Thriller,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,sicario,Denis Villeneuve Edgar Arreola Bernardo Saracino Daniel Kaluuya Action Crime Drama Mystery Thriller
Antoine Fuqua,Drama Sport,Jake Gyllenhaal,50 Cent,Oona Laurence,southpaw,Antoine Fuqua Jake Gyllenhaal 50 Cent Oona Laurence Drama Sport
Sam Raimi,Horror Thriller,Bojana Novakovic,Alison Lohman,Reggie Lee,drag me to hell,Sam Raimi Bojana Novakovic Alison Lohman Reggie Lee Horror Thriller
Lee Toland Krieger,Drama Fantasy Romance,Harrison Ford,Michiel Huisman,Ellen Burstyn,the age of adaline,Lee Toland Krieger Harrison Ford Michiel Huisman Ellen Burstyn Drama Fantasy Romance
Tim McCanlies,Comedy Drama Family,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,secondhand lions,Tim McCanlies Haley Joel Osment Robert Duvall Emmanuelle Vaugier Comedy Drama Family
Jon M. Chu,Drama Music Romance,Alyson Stoner,Stephen Boss,Facundo Lombard,step up 3d,Jon M. Chu Alyson Stoner Stephen Boss Facundo Lombard Drama Music Romance
John Stockwell,Drama Romance Sport,Faizon Love,Mika Boorem,Sanoe Lake,blue crush,John Stockwell Faizon Love Mika Boorem Sanoe Lake Drama Romance Sport
Marc Forster,Comedy Drama Fantasy Romance,Will Ferrell,Christian Stolte,Danny Rhodes,stranger than fiction,Marc Forster Will Ferrell Christian Stolte Danny Rhodes Comedy Drama Fantasy Romance
David Slade,Horror,Danny Huston,Mark Rendall,Megan Franich,30 days of night,David Slade Danny Huston Mark Rendall Megan Franich Horror
Drew Goddard,Fantasy Horror Mystery Thriller,Chris Hemsworth,Bradley Whitford,Kristen Connolly,the cabin in the woods,Drew Goddard Chris Hemsworth Bradley Whitford Kristen Connolly Fantasy Horror Mystery Thriller
Jason Friedberg,Comedy,Carmen Electra,Diedrich Bader,Method Man,meet the spartans,Jason Friedberg Carmen Electra Diedrich Bader Method Man Comedy
Martin Brest,Action Comedy Crime Thriller,Robert De Niro,Yaphet Kotto,Philip Baker Hall,midnight run,Martin Brest Robert De Niro Yaphet Kotto Philip Baker Hall Action Comedy Crime Thriller
Paul Michael Glaser,Action Crime Sci-Fi Thriller,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,the running man,Paul Michael Glaser Yaphet Kotto Maria Conchita Alonso Richard Dawson Action Crime Sci-Fi Thriller
Frank Oz,Comedy Horror Musical Sci-Fi,Bill Murray,Jim Belushi,Tisha Campbell-Martin,little shop of horrors,Frank Oz Bill Murray Jim Belushi Tisha Campbell-Martin Comedy Horror Musical Sci-Fi
Joe Wright,Action Drama Thriller,Jessica Barden,Vicky Krieps,John Macmillan,hanna,Joe Wright Jessica Barden Vicky Krieps John Macmillan Action Drama Thriller
unknown,Drama Mystery,Zach Gilford,Joan Allen,Liam James,the family            ,unknown Zach Gilford Joan Allen Liam James Drama Mystery
John R. Leonetti,Action Adventure Fantasy Sci-Fi Thriller,Brian Thompson,Talisa Soto,Robin Shou,mortal kombat: annihilation,John R. Leonetti Brian Thompson Talisa Soto Robin Shou Action Adventure Fantasy Sci-Fi Thriller
Tom Hanks,Comedy Drama Romance,Tom Hanks,Rob Riggle,Randall Park,larry crowne,Tom Hanks Tom Hanks Rob Riggle Randall Park Comedy Drama Romance
Liz Friedlander,Drama Music,Alfre Woodard,Yaya DaCosta,Jasika Nicole,take the lead,Liz Friedlander Alfre Woodard Yaya DaCosta Jasika Nicole Drama Music
unknown,Comedy Drama,Debi Mazar,Kevin Connolly,Kevin Dillon,entourage            ,unknown Debi Mazar Kevin Connolly Kevin Dillon Comedy Drama
Phil Joanou,Crime Drama Sport,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,gridiron gang,Phil Joanou Dwayne Johnson Jurnee Smollett-Bell Kevin Dunn Crime Drama Sport
Sam Weisman,Comedy Crime,Bernie Mac,Larry Miller,Richard Schiff,what's the worst that could happen?,Sam Weisman Bernie Mac Larry Miller Richard Schiff Comedy Crime
Shane Acker,Action Adventure Animation Drama Mystery Sci-Fi Thriller,Martin Landau,Alan Oppenheimer,Tom Kane,9,Shane Acker Martin Landau Alan Oppenheimer Tom Kane Action Adventure Animation Drama Mystery Sci-Fi Thriller
Martha Coolidge,Comedy Family Romance,Devin Ratray,Miranda Richardson,Luke Mably,the prince and me,Martha Coolidge Devin Ratray Miranda Richardson Luke Mably Comedy Family Romance
Stephen J. Anderson,Adventure Animation Comedy Family Musical,Craig Ferguson,Robert Lopez,Huell Howser,winnie the pooh,Stephen J. Anderson Craig Ferguson Robert Lopez Huell Howser Adventure Animation Comedy Family Musical
Troy Miller,Comedy,Elden Henson,Mimi Rogers,Cheri Oteri,dumb and dumberer: when harry met lloyd,Troy Miller Elden Henson Mimi Rogers Cheri Oteri Comedy
Warren Beatty,Comedy Drama Romance,Warren Beatty,Kirk Baltz,Graham Beckel,bulworth,Warren Beatty Warren Beatty Kirk Baltz Graham Beckel Comedy Drama Romance
Tate Taylor,Biography Drama Music,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,get on up,Tate Taylor Tika Sumpter Josh Hopkins Aunjanue Ellis Biography Drama Music
Carl Franklin,Drama,Meryl Streep,William Hurt,Tom Everett Scott,one true thing,Carl Franklin Meryl Streep William Hurt Tom Everett Scott Drama
Brett Leonard,Action Crime Sci-Fi Thriller,Denzel Washington,Costas Mandylor,Traci Lords,virtuosity,Brett Leonard Denzel Washington Costas Mandylor Traci Lords Action Crime Sci-Fi Thriller
Ivan Reitman,Comedy Romance Sci-Fi,Rainn Wilson,Eddie Izzard,Wanda Sykes,my super ex-girlfriend,Ivan Reitman Rainn Wilson Eddie Izzard Wanda Sykes Comedy Romance Sci-Fi
Scott Derrickson,Horror Mystery Thriller,Olivia Munn,Dorian Missick,Edgar Ramírez,deliver us from evil,Scott Derrickson Olivia Munn Dorian Missick Edgar Ramírez Horror Mystery Thriller
Alister Grierson,Adventure Drama Thriller,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,sanctum,Alister Grierson Ioan Gruffudd Rhys Wakefield Richard Roxburgh Adventure Drama Thriller
Nick Hurran,Comedy Drama Romance,Holly Hunter,Kevin Sussman,Dave Annable,little black book,Nick Hurran Holly Hunter Kevin Sussman Dave Annable Comedy Drama Romance
Nicholas Stoller,Comedy Romance,Alison Brie,Jacki Weaver,David Paymer,the five-year engagement,Nicholas Stoller Alison Brie Jacki Weaver David Paymer Comedy Romance
Charles Stone III,Comedy Drama Romance Sport,Bernie Mac,Chris Noth,Paul Sorvino,mr 3000,Charles Stone III Bernie Mac Chris Noth Paul Sorvino Comedy Drama Romance Sport
