director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
Rob Marshall,Drama Musical Romance,Fergie,Elio Germano,Andrea Di Stefano,nine
Richard Donner,Action Adventure Sci-Fi,Paul Walker,Gerard Butler,Ethan Embry,timeline
Kevin Costner,Action Adventure Drama Sci-Fi,Olivia Williams,Brian Anthony Wilson,Larenz Tate,the postman
George Miller,Adventure Comedy Drama Family Fantasy,Adam Goldberg,Elizabeth Daily,Glenne Headly,babe: pig in the city
Breck Eisner,Action Adventure Fantasy,Vin Diesel,Joseph Gilgun,Lotte Verbeek,the last witch hunter
Antony Hoffman,Action Sci-Fi Thriller,Bob Neill,Val Kilmer,Tom Sizemore,red planet
Luc Besson,Adventure Animation Family Fantasy,Mia Farrow,Adam LeFevre,Penny Balfour,arthur and the invisibles
Jacques Perrin,Documentary Drama,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,oceans
Peter Hyams,Action Adventure Horror Sci-Fi Thriller,David Oyelowo,Catherine McCormack,Jemima Rooper,a sound of thunder
Paul W.S. Anderson,Action Adventure Drama History Romance,Sasha Roiz,Currie Graham,Dylan Schombing,pompeii
Andrés Couturier,Animation Family,Sariann Monaco,David Hoffman,Ben Diskin,top cat begins
Ron Howard,Biography Drama,Adam Goldberg,Austin Pendleton,Judd Hirsch,a beautiful mind
Roger Allers,Adventure Animation Drama Family Musical,Matthew Broderick,Nathan Lane,Niketa Calame,the lion king
Brad Peyton,Action Adventure Comedy Family Fantasy Sci-Fi,Josh Hutcherson,Dwayne Johnson,Kristin Davis,journey 2: the mysterious island
Cody Cameron,Animation Comedy Family Fantasy Sci-Fi,Will Forte,Khamani Griffin,Melissa Sturm,cloudy with a chance of meatballs 2
Brett Ratner,Crime Drama Thriller,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson,red dragon
Joe Johnston,Action Adventure Western,J.K. Simmons,Viggo Mortensen,Peter Mensah,hidalgo
Dennis Dugan,Comedy,Al Pacino,Adam Sandler,Tim Meadows,jack and jill
John Singleton,Action Crime Thriller,Paul Walker,Cole Hauser,Mo Gallini,2 fast 2 furious
Mark Osborne,Adventure Animation Drama Family Fantasy,Jeff Bridges,James Franco,Mackenzie Foy,the little prince
Oliver Hirschbiegel,Sci-Fi Thriller,Roger Rees,Veronica Cartwright,Jeremy Northam,the invasion
Des McAnuff,Adventure Animation Comedy Family Fantasy,Robert De Niro,Janeane Garofalo,Jonathan Winters,the adventures of rocky & bullwinkle
Yarrow Cheney,Animation Comedy Family,Steve Coogan,Eric Stonestreet,Albert Brooks,the secret life of pets
Stephen Norrington,Action Adventure Fantasy Sci-Fi,Jason Flemyng,Max Ryan,Tony Curran,the league of extraordinary gentlemen
Pierre Coffin,Animation Comedy Family Sci-Fi,Steve Carell,Miranda Cosgrove,Steve Coogan,despicable me 2
Roland Emmerich,Action Adventure Sci-Fi,Will Smith,Adam Baldwin,Mary McDonnell,independence day
Steven Spielberg,Action Adventure Sci-Fi,Ariana Richards,Richard Schiff,Vanessa Lee Chester,the lost world: jurassic park
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,madagascar
Alfonso Cuarón,Drama Sci-Fi Thriller,Charlie Hunnam,Danny Huston,Rita Davies,children of men
Bryan Singer,Action Adventure Sci-Fi,Hugh Jackman,Tyler Mane,Bruce Davison,x-men
Timur Bekmambetov,Action Crime Fantasy Thriller,Angelina Jolie Pitt,Morgan Freeman,Common,wanted
Michael Bay,Action Adventure Thriller,Nicolas Cage,Michael Biehn,Bokeem Woodbine,the rock
Carlos Saldanha,Action Adventure Animation Comedy Family Fantasy,Denis Leary,Ray Romano,Jay Leno,ice age: the meltdown
Peter Segal,Comedy Romance,Adam Sandler,Peter Dante,Allen Covert,50 first dates
Adam Shankman,Comedy Drama Family Music Musical Romance,Jerry Stiller,Elijah Kelley,Paul Dooley,hairspray
Renny Harlin,Horror Mystery Thriller,James D'Arcy,Alan Ford,Izabella Scorupco,exorcist: the beginning
David Kellogg,Action Adventure Comedy Family Sci-Fi,Matthew Broderick,Rene Auberjonois,Rupert Everett,inspector gadget
Louis Leterrier,Crime Mystery Thriller,Morgan Freeman,Common,Michael Kelly,now you see me
Dennis Dugan,Comedy,Steve Buscemi,Adam Sandler,Salma Hayek,grown ups
Steven Spielberg,Comedy Drama,Tom Hanks,Chi McBride,Barry Shabaka Henley,the terminal
unknown,Drama Fantasy Horror Thriller,Harold Perrineau,Matt Ryan,Charles Halford,constantine            
Thor Freudenthal,Comedy Family,Don Cheadle,Kevin Dillon,Yvette Nicole Brown,hotel for dogs
Martin Campbell,Action Adventure Drama Thriller,Nicholas Lea,Scott Glenn,Ben Mendelsohn,vertical limit
Mike Nichols,Biography Comedy Drama History,Philip Seymour Hoffman,Tom Hanks,Jud Tylor,charlie wilson's war
Bibo Bergeron,Adventure Animation Comedy Family,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,shark tale
Bill Condon,Drama Music Musical,Loretta Devine,Jennifer Hudson,Anika Noni Rose,dreamgirls
unknown,Crime Drama Mystery,Adam Arkin,Brent Sexton,Damian Lewis,life            
F. Gary Gray,Comedy Crime Music,Dwayne Johnson,Christina Milian,Debi Mazar,be cool
Steven Spielberg,Drama History Thriller,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,munich
Antoine Fuqua,Action Drama Thriller War,Bruce Willis,Tom Skerritt,Cole Hauser,tears of the sun
Robert Luketic,Action Comedy Romance Thriller,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,killers
Guy Ritchie,Action Adventure Comedy,Henry Cavill,Elizabeth Debicki,Christian Berkel,the man from u.n.c.l.e.
James L. Brooks,Comedy Drama Romance,Adam Sandler,Paz Vega,Sarah Steele,spanglish
Gil Kenan,Animation Comedy Family Fantasy Mystery,Steve Buscemi,Jon Heder,Catherine O'Hara,monster house
Barry Levinson,Comedy Crime Drama Romance,Bruce Willis,Brían F. O'Byrne,Azura Skye,bandits
Jerry Zucker,Action Adventure Romance Thriller,Julia Ormond,Ben Cross,John Gielgud,first knight
Andy Tennant,Drama History Romance,Bai Ling,Geoffrey Palmer,Randall Duk Kim,anna and the king
Tarsem Singh,Action Drama Fantasy Romance,Henry Cavill,Daniel Sharman,Steve Byers,immortals
Florent-Emilio Siri,Action Crime Drama Mystery Thriller,Jimmy Bennett,Bruce Willis,Ransford Doherty,hostage
Don Bluth,Action Adventure Animation Family Sci-Fi,Matt Damon,Janeane Garofalo,Nathan Lane,titan a.e.
Ron Shelton,Action Comedy Crime Thriller,Harrison Ford,Bruce Greenwood,Lena Olin,hollywood homicide
Paul W.S. Anderson,Action Drama Sci-Fi,Connie Nielsen,Sean Pertwee,Jason Scott Lee,soldier
David Pastor,Drama Horror Sci-Fi Thriller,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,carriers
Henry Selick,Animation Comedy Fantasy,Brendan Fraser,Bridget Fonda,Megan Mullally,monkeybone
John Moore,Action Adventure Drama Thriller,Dennis Quaid,Tony Curran,Miranda Otto,flight of the phoenix
M. Night Shyamalan,Drama Mystery Sci-Fi Thriller,Robin Wright,Bruce Willis,Michael Kelly,unbreakable
Kyle Balda,Action Animation Comedy Family Sci-Fi,Steve Carell,Jon Hamm,Steve Coogan,minions
Zack Snyder,Action Fantasy,Jon Hamm,Abbie Cornish,Scott Glenn,sucker punch
Brian De Palma,Crime Mystery Thriller,Nicolas Cage,Mike Starr,John Heard,snake eyes
Barry Levinson,Drama Mystery Sci-Fi Thriller,Peter Coyote,James Pickens Jr.,Huey Lewis,sphere
Clay Kaytis,Action Animation Comedy Family,Peter Dinklage,Josh Gad,Keegan-Michael Key,the angry birds movie
Andy Tennant,Action Adventure Comedy Romance Thriller,Matthew McConaughey,Ray Winstone,Alexis Dziena,fool's gold
Judd Apatow,Comedy Drama,Adam Sandler,RZA,Maude Apatow,funny people
Peter Berg,Action Drama Thriller,Jennifer Garner,Frances Fisher,Tim McGraw,the kingdom
Adam McKay,Action Comedy Sport,Will Ferrell,Leslie Bibb,Gary Cole,talladega nights: the ballad of ricky bobby
Steve Carr,Comedy Family Fantasy,Raven-Symoné,Jeffrey Jones,Kevin Pollak,dr. dolittle 2
Mel Gibson,Biography Drama History War,Mhairi Calvey,Patrick McGoohan,James Robinson,braveheart
Sam Mendes,Action Drama War,Jake Gyllenhaal,Brian Geraghty,James Morrison,jarhead
David Silverman,Adventure Animation Comedy,Albert Brooks,Yeardley Smith,Marcia Wallace,the simpsons movie
Frank Darabont,Drama Romance,Martin Landau,Hal Holbrook,Jeffrey DeMunn,the majestic
Renny Harlin,Action Drama Sport,Sylvester Stallone,Estella Warren,Cristián de la Fuente,driven
Jean-Jacques Annaud,Adventure Drama Family,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,two brothers
M. Night Shyamalan,Drama Mystery Romance Thriller,Bryce Dallas Howard,Judy Greer,William Hurt,the village
Betty Thomas,Comedy Family Fantasy,Oliver Platt,Raven-Symoné,Peter Boyle,doctor dolittle
M. Night Shyamalan,Drama Sci-Fi Thriller,Rory Culkin,Merritt Wever,Cherry Jones,signs
Andrew Adamson,Adventure Animation Comedy Family Fantasy Romance,Rupert Everett,Jennifer Saunders,Conrad Vernon,shrek 2
John Lasseter,Adventure Animation Comedy Family Sport,John Ratzenberger,Cheech Marin,George Carlin,cars
Garry Marshall,Comedy Romance,Julia Roberts,Christopher Meloni,Hector Elizondo,runaway bride
Rob Cohen,Action Adventure Thriller,Vin Diesel,Eve,Leila Arcieri,xxx
Paul Tibbitt,Adventure Animation Comedy Family Fantasy,Tim Conway,Billy West,Eddie Deezen,the spongebob movie: sponge out of water
Ron Howard,Crime Thriller,Lili Taylor,Delroy Lindo,Rene Russo,ransom
Quentin Tarantino,Adventure Drama War,Michael Fassbender,Brad Pitt,Christoph Waltz,inglourious basterds
Steven Spielberg,Adventure Comedy Family Fantasy,Robin Williams,Julia Roberts,Bob Hoskins,hook
Brett Ratner,Action Adventure,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,hercules
Renny Harlin,Action Thriller,Bruce Willis,John Amos,Franco Nero,die hard 2
Clark Johnson,Action Adventure Crime Thriller,Jeremy Renner,Josh Charles,LL Cool J,s.w.a.t.
unknown,Adventure Drama Fantasy Mystery Thriller,Nicole Beharie,Katia Winter,Lyndie Greenwood,sleepy hollow            
Cameron Crowe,Fantasy Mystery Romance Sci-Fi Thriller,Tom Cruise,Ivana Milicevic,Noah Taylor,vanilla sky
M. Night Shyamalan,Drama Fantasy Mystery Thriller,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,lady in the water
Paul W.S. Anderson,Action Horror Sci-Fi Thriller,Sanaa Lathan,Colin Salmon,Raoul Bova,avp: alien vs. predator
Betty Thomas,Animation Comedy Family Fantasy Music,Amy Poehler,Bridgit Mendler,Jesse McCartney,alvin and the chipmunks: the squeakquel
Randall Wallace,Action Drama History War,Jon Hamm,Marc Blucas,Chris Klein,we were soldiers
Antoine Fuqua,Action Thriller,Gerard Butler,Morgan Freeman,Radha Mitchell,olympus has fallen
Jonathan Frakes,Action Adventure Sci-Fi Thriller,LeVar Burton,Jonathan Frakes,Michael Dorn,star trek: insurrection
Jonathan Liebesman,Action Sci-Fi,Noel Fisher,Jim Parrack,Ramon Rodriguez,battle los angeles
Tim Burton,Adventure Drama Fantasy,Steve Buscemi,Alison Lohman,Albert Finney,big fish
Mike Nichols,Drama Horror Romance Thriller,David Hyde Pierce,Peter Gerety,Ron Rifkin,wolf
Steven Spielberg,Drama War,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,war horse
George Clooney,Drama War,Bill Murray,Matt Damon,Bob Balaban,the monuments men
James Cameron,Adventure Drama Sci-Fi Thriller,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,the abyss
Oliver Stone,Drama,Frank Langella,Austin Pendleton,John Buffalo Mailer,wall street: money never sleeps
Gary Shore,Action Drama Fantasy Horror War,Dominic Cooper,Sarah Gadon,Zach McGowan,dracula untold
Edward Zwick,Action Thriller,Denzel Washington,Bruce Willis,Mark Valley,the siege
Matthew Vaughn,Adventure Family Fantasy Romance,Henry Cavill,David Kelly,Nathaniel Parker,stardust
Jean-Jacques Annaud,Adventure Biography Drama History War,Brad Pitt,Mako,Victor Wong,seven years in tibet
Ron Howard,Comedy Drama,Channing Tatum,Clint Howard,Chelcie Ross,the dilemma
Joel Schumacher,Action Adventure Comedy Thriller,Anthony Hopkins,Brooke Smith,Garcelle Beauvais,bad company
Andrzej Bartkowiak,Action Adventure Horror Sci-Fi,Dwayne Johnson,Ben Daniels,Dexter Fletcher,doom
Betty Thomas,Action Adventure Comedy Thriller,Gary Cole,Phill Lewis,Tate Taylor,i spy
Måns Mårlind,Action Fantasy Horror,Theo James,Stephen Rea,Sandrine Holt,underworld: awakening
Adam Shankman,Comedy Drama Musical Romance,James Martin Kelly,Shane Hartline,Celina Beach,rock of ages
Gregory Hoblit,Drama War,Bruce Willis,Cole Hauser,Rory Cochrane,hart's war
Gary McKendry,Action Crime Thriller,Jason Statham,Robert De Niro,Ben Mendelsohn,killer elite
John McTiernan,Action Sci-Fi Sport,LL Cool J,Chris Klein,Andrew Bryniarski,rollerball
Wych Kaosayananda,Action Crime Sci-Fi Thriller,Talisa Soto,Sandrine Holt,Gregg Henry,ballistic: ecks vs. sever
Mikael Salomon,Action Crime Drama Thriller,Morgan Freeman,Minnie Driver,Randy Quaid,hard rain
Bobby Farrelly,Action Adventure Animation Comedy Crime Family Fantasy,Ron Howard,Brandy Norwood,David Hyde Pierce,osmosis jones
Will Finn,Adventure Animation Family Fantasy Musical,Lea Michele,Oliver Platt,Jim Belushi,legends of oz: dorothy's return
Michael Mann,Action Crime Drama Mystery Thriller,Chris Hemsworth,Archie Kao,Brandon Molale,blackhat
Kerry Conran,Action Adventure Mystery Sci-Fi Thriller,Angelina Jolie Pitt,Laurence Olivier,Bai Ling,sky captain and the world of tomorrow
Michael Caton-Jones,Crime Mystery Thriller,Charlotte Rampling,Indira Varma,Neil Maskell,basic instinct 2
Mikael Håfström,Action Crime Mystery Sci-Fi Thriller,Sylvester Stallone,50 Cent,Matt Gerald,escape plan
Renny Harlin,Action Adventure Fantasy,Roxanne McKee,Luke Newberry,Gaia Weiss,the legend of hercules
Phil Alden Robinson,Action Drama Thriller,Morgan Freeman,Bruce McGill,Philip Baker Hall,the sum of all fears
David Slade,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Anna Kendrick,the twilight saga: eclipse
Frank Oz,Crime Drama Thriller,Robert De Niro,Marlon Brando,Gary Farmer,the score
Pierre Coffin,Animation Comedy Family,Steve Carell,Miranda Cosgrove,Jack McBrayer,despicable me
Joseph Ruben,Action Comedy Crime Drama Thriller,Vincent Pastore,Robert Blake,Aida Turturro,money train
Seth MacFarlane,Comedy,Liam Neeson,Morgan Freeman,Seth MacFarlane,ted 2
Alejandro Amenábar,Adventure Drama History Romance,Max Minghella,Ashraf Barhom,Rupert Evans,agora
Kinka Usher,Action Comedy Fantasy Sci-Fi,Janeane Garofalo,Wes Studi,Eddie Izzard,mystery men
Bobby Farrelly,Comedy Romance,Jenna Fischer,Larry Joe Campbell,Stephen Merchant,hall pass
Michael Mann,Biography Drama Thriller,Al Pacino,Rip Torn,Debi Mazar,the insider
Craig Gillespie,Action Drama History Thriller,Michael Raymond-James,Abraham Benrubi,Graham McTavish,the finest hours
Ridley Scott,Action Drama Thriller,Leonardo DiCaprio,Simon McBurney,Michael Gaston,body of lies
Jay Roach,Comedy,Steve Carell,Stephanie Szostak,Bruce Greenwood,dinner for schmucks
Timur Bekmambetov,Action Fantasy Horror,Rufus Sewell,Dominic Cooper,Benjamin Walker,abraham lincoln: vampire hunter
Jon Amiel,Action Crime Romance Thriller,Will Patton,Kevin McNally,Maury Chaykin,entrapment
unknown,Comedy,Hector Elizondo,Kaitlyn Dever,Nancy Travis,last man standing            
Rob Bowman,Drama Mystery Sci-Fi Thriller,Martin Landau,Mitch Pileggi,Jeffrey DeMunn,the x files
Doug Lefler,Action Adventure Fantasy War,Colin Firth,Nonso Anozie,Owen Teale,the last legion
Steven Spielberg,Action Drama War,Tom Hanks,Vin Diesel,Matt Damon,saving private ryan
Scott Waugh,Action Crime Drama Thriller,Rami Malek,Dominic Cooper,Ramon Rodriguez,need for speed
Nancy Meyers,Comedy Fantasy Romance,Judy Greer,Lisa Edelstein,Loretta Devine,what women want
Chris Wedge,Adventure Animation Comedy Family,Goran Visnjic,Stephen Root,Denis Leary,ice age
Lawrence Kasdan,Drama Horror Sci-Fi Thriller,Morgan Freeman,Michael O'Neill,Reece Thompson,dreamcatcher
Steven Spielberg,Biography Drama History War,Joseph Gordon-Levitt,Hal Holbrook,Bruce McGill,lincoln
Lana Wachowski,Action Sci-Fi,Keanu Reeves,Marcus Chong,Gloria Foster,the matrix
Ron Howard,Adventure Drama History,Tom Hanks,Miko Hughes,Kathleen Quinlan,apollo 13
Paul Verhoeven,Action Sci-Fi,Ronny Cox,Rachel Ticotin,Marshall Bell,total recall
Michael Lembeck,Comedy Family Fantasy,Judge Reinhold,Aisha Tyler,Eric Lloyd,the santa clause 2
Tom Hooper,Drama Musical Romance,Hugh Jackman,Eddie Redmayne,Anne Hathaway,les misérables
Nora Ephron,Comedy Drama Romance,Tom Hanks,Jean Stapleton,Dave Chappelle,you've got mail
Adam McKay,Comedy,Will Ferrell,Adam Scott,Andrea Savage,step brothers
Martin Campbell,Action Adventure Comedy Romance Thriller Western,Anthony Hopkins,Tony Amendola,Stuart Wilson,the mask of zorro
Todd Phillips,Comedy Drama,Robert Downey Jr.,RZA,Matt Walsh,due date
Angelina Jolie Pitt,Biography Drama Sport War,Finn Wittrock,Jack O'Connell,Alex Russell,unbroken
Clint Eastwood,Action Adventure Thriller,Clint Eastwood,Courtney B. Vance,William Devane,space cowboys
Renny Harlin,Action Adventure Thriller,Sylvester Stallone,Leon,Janine Turner,cliffhanger
John Woo,Action Crime Thriller,Delroy Lindo,Samantha Mathis,Bob Gunton,broken arrow
Jon Turteltaub,Comedy Family Fantasy,Bruce Willis,Lily Tomlin,Daniel von Bargen,the kid
Oliver Stone,Drama History Thriller,Nicolas Cage,Jay Hernandez,Armando Riesco,world trade center
Mike Newell,Drama,Julia Roberts,Kirsten Dunst,Marian Seldes,mona lisa smile
Larry Charles,Comedy Romance,Sayed Badreya,Aasif Mandvi,Horatio Sanz,the dictator
Stanley Kubrick,Drama Mystery Thriller,Tom Cruise,Vinessa Shaw,Sydney Pollack,eyes wide shut
Will Gluck,Comedy Drama Family Musical,Quvenzhané Wallis,Dorian Missick,David Zayas,annie
Glenn Ficarra,Comedy Crime Drama Romance,Will Smith,Adrian Martinez,Gerald McRaney,focus
McG,Action Comedy Romance,Tom Hardy,Abigail Spencer,Warren Christie,this means war
David S. Goyer,Action Adventure Fantasy Horror Sci-Fi Thriller,Ryan Reynolds,Natasha Lyonne,John Michael Higgins,blade: trinity
John Milius,Action Drama War,Lea Thompson,Jennifer Grey,William Smith,red dawn
Mike Nichols,Comedy Drama,Maura Tierney,Adrian Lester,Paul Guilfoyle,primary colors
Paul W.S. Anderson,Action Horror Sci-Fi Thriller,Milla Jovovich,Boris Kodjoe,Bingbing Li,resident evil: retribution
Paul W.S. Anderson,Action Sci-Fi Thriller,Jason Statham,Max Ryan,Joan Allen,death race
Renny Harlin,Action Crime Drama Mystery Thriller,Melina Kanakaredes,Craig Bierko,Yvonne Zima,the long kiss goodnight
Taylor Hackford,Action Drama Thriller,Pamela Reed,Alun Armstrong,Michael Kitchen,proof of life
Jon Favreau,Action Adventure Comedy Family Fantasy Sci-Fi,Kristen Stewart,Josh Hutcherson,Jonah Bobo,zathura: a space adventure
David Fincher,Drama,Brad Pitt,Meat Loaf,Eugenie Bondurant,fight club
McG,Drama Sport,Matthew McConaughey,Kimberly Williams-Paisley,Brian Geraghty,we are marshall
unknown,Crime Drama Mystery,Jason Flemyng,James Nesbitt,Frances O'Connor,the missing            
Michael Lehmann,Action Adventure Comedy,Bruce Willis,James Coburn,Richard E. Grant,hudson hawk
Nora Ephron,Comedy Crime,Michael Rapaport,Michael Moore,Richard Schiff,lucky numbers
Stuart Beattie,Action Fantasy Sci-Fi Thriller,Caitlin Stasey,Kevin Grevioux,Miranda Otto,"i, frankenstein"
Roman Polanski,Crime Drama,Ian McNeice,Barney Clark,Tony Noble,oliver twist
Rob Bowman,Action Crime Fantasy Thriller,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,elektra
Frank Miller,Action Crime Thriller,Joseph Gordon-Levitt,Bruce Willis,Eva Green,sin city: a dame to kill for
Sydney Pollack,Drama Mystery Romance,Harrison Ford,Kristin Scott Thomas,Bill Cobbs,random hearts
Baltasar Kormákur,Adventure Biography Drama History Sport Thriller,Michael Kelly,Martin Henderson,Tom Goodman-Hill,everest
Tom Tykwer,Crime Drama Fantasy,Michael Smiley,David Calder,Simon Chandler,perfume: the story of a murderer
Jay Roach,Action Comedy Crime,Verne Troyer,Josh Zuckerman,Robert Wagner,austin powers in goldmember
David Bowers,Action Animation Comedy Family Sci-Fi,Nicolas Cage,Charlize Theron,Dee Bradley Baker,astro boy
Steven Spielberg,Adventure Sci-Fi Thriller,Wayne Knight,Ariana Richards,Bob Peck,jurassic park
Lawrence Kasdan,Adventure Biography Crime Drama Western,Dennis Quaid,Catherine O'Hara,Isabella Rossellini,wyatt earp
Phillip Noyce,Action Crime Drama Thriller,Harrison Ford,Dean Jones,Raymond Cruz,clear and present danger
Daniel Lee,Action Adventure Drama History,Si Won Choi,Peng Lin,Sung-jun Yoo,dragon blade
Keenen Ivory Wayans,Comedy Crime,Chazz Palminteri,Brittany Daniel,John Witherspoon,littleman
Jonathan Mostow,Action War,Matthew McConaughey,Thomas Kretschmann,David Keith,u-571
Rob Reiner,Comedy Drama Romance,Shawna Waldron,Samantha Mathis,Wendie Malick,the american president
Marco Schnabel,Comedy Romance Sport,Justin Timberlake,Romany Malco,Verne Troyer,the love guru
Demian Lichtenstein,Action Comedy Crime Thriller,Jon Lovitz,Bokeem Woodbine,Ice-T,3000 miles to graceland
Quentin Tarantino,Crime Drama Mystery Thriller Western,Craig Stark,Jennifer Jason Leigh,Zoë Bell,the hateful eight
Josh Gordon,Comedy Sport,Will Ferrell,Amy Poehler,Jon Heder,blades of glory
Tim Hill,Adventure Animation Comedy Family Fantasy,Gary Cole,Elizabeth Perkins,Chelsea Handler,hop
Zack Snyder,Action Drama Fantasy War,Gerard Butler,Michael Fassbender,Vincent Regan,300
Jay Roach,Comedy Romance,Robert De Niro,Blythe Danner,Teri Polo,meet the fockers
David Frankel,Comedy Drama Family,Eric Dane,Kathleen Turner,Haley Bennett,marley & me
Frank Darabont,Crime Drama Fantasy Mystery,Tom Hanks,Jeffrey DeMunn,Michael Jeter,the green mile
Walt Becker,Action Adventure Comedy,Jill Hennessy,Tichina Arnold,Drew Sidora,wild hogs
Mark Dindal,Adventure Animation Comedy Family Sci-Fi,Catherine O'Hara,Fred Willard,Amy Sedaris,chicken little
David Fincher,Crime Drama Mystery Thriller,Patrick Fugit,Sela Ward,Emily Ratajkowski,gone girl
Doug Liman,Action Mystery Thriller,Matt Damon,Josh Hamilton,Nicky Naudé,the bourne identity
Martin Campbell,Action Adventure Thriller,Izabella Scorupco,Joe Don Baker,Tchéky Karyo,goldeneye
Simon West,Drama Mystery Thriller,Daniel von Bargen,Timothy Hutton,Clarence Williams III,the general's daughter
Peter Weir,Comedy Drama Sci-Fi,Natascha McElhone,Noah Emmerich,Peter Krause,the truman show
Brenda Chapman,Adventure Animation Biography Drama Family Fantasy Musical,Martin Short,Aria Noelle Curzon,Eden Riegel,the prince of egypt
Steve Carr,Comedy Family,Anjelica Huston,Lisa Edelstein,Jeff Garlin,daddy day care
Baltasar Kormákur,Action Comedy Crime Drama Thriller,Denzel Washington,Patrick Fischler,Fred Ward,2 guns
Lawrence Guterman,Action Comedy Family Fantasy,Carol Ann Susi,Elizabeth Perkins,Miriam Margolyes,cats & dogs
F. Gary Gray,Action Crime Thriller,Jason Statham,Charlize Theron,Jimmy Shubert,the italian job
Marc Lawrence,Comedy Romance,Dorian Missick,Alicia Witt,Dana Ivey,two weeks notice
Eric Darnell,Adventure Animation Comedy Family,Sylvester Stallone,Woody Allen,Anne Bancroft,antz
Peter Billingsley,Comedy,Jon Favreau,Kristin Davis,Tasha Smith,couples retreat
Tony Scott,Action Drama Sport,Tom Cruise,Robert Duvall,Randy Quaid,days of thunder
Adam Shankman,Adventure Comedy Family,Taylor Lautner,Tom Welling,Alyson Stoner,cheaper by the dozen 2
Wes Ball,Action Sci-Fi Thriller,Ki Hong Lee,Lili Taylor,Rosa Salazar,the scorch trials
Ryan Murphy,Drama Romance,James Franco,Julia Roberts,Billy Crudup,eat pray love
Brett Ratner,Comedy Drama Fantasy Romance,Nicolas Cage,Don Cheadle,Amber Valletta,the family man
Robert Schwentke,Action Comedy Crime Thriller,Bruce Willis,Morgan Freeman,Jaqueline Fleming,red
Oliver Stone,Drama Sport,Al Pacino,Dennis Quaid,LL Cool J,any given sunday
Robert Redford,Drama Romance Western,Scarlett Johansson,Kristin Scott Thomas,Jessalyn Gilsig,the horse whisperer
Michael Mann,Crime Drama Thriller,Tom Cruise,Jada Pinkett Smith,Debi Mazar,collateral
Chuck Russell,Action Adventure Fantasy Thriller,Dwayne Johnson,Roger Rees,Bernard Hill,the scorpion king
Jay Russell,Action Drama Thriller,Billy Burke,Jay Hernandez,Jacinda Barrett,ladder 49
Christopher McQuarrie,Action Crime Mystery Thriller,Tom Cruise,Robert Duvall,David Oyelowo,jack reacher
Renny Harlin,Action Sci-Fi Thriller,LL Cool J,Michael Rapaport,Saffron Burrows,deep blue sea
Kenny Ortega,Documentary Music,Misha Gabriel Hamilton,Mekia Cox,Judith Hill,this is it
Steven Soderbergh,Drama Thriller,Matt Damon,Monique Gabriela Curnen,Griffin Kane,contagion
David McNally,Action Adventure Comedy Crime,Estella Warren,Dyan Cannon,Bill Hunter,kangaroo jack
Henry Selick,Animation Family Fantasy,Jennifer Saunders,Dawn French,John Hodgman,coraline
M. Night Shyamalan,Sci-Fi Thriller,Zooey Deschanel,Alan Ruck,Kristen Connolly,the happening
Tony Scott,Action Crime Drama Thriller,Denzel Washington,Radha Mitchell,Giancarlo Giannini,man on fire
Brian Robbins,Comedy Family Fantasy,Robert Downey Jr.,Joel David Moore,Kristin Davis,the shaggy dog
Todd Phillips,Comedy Crime,Snoop Dogg,Carmen Electra,Fred Williamson,starsky & hutch
Brian Levant,Comedy Family,Jim Belushi,Harvey Korman,Jake Lloyd,jingle all the way
Guillermo del Toro,Action Fantasy Horror Sci-Fi,James Babson,Rupert Evans,Brian Steele,hellboy
Steven Zaillian,Drama,Robert Duvall,Kathleen Quinlan,Sydney Pollack,a civil action
Chris Butler,Adventure Animation Comedy Family Fantasy,Anna Kendrick,Kodi Smit-McPhee,Elaine Stritch,paranorman
Michael Caton-Jones,Action Adventure Crime Thriller,J.K. Simmons,Bruce Willis,Sophie Okonedo,the jackal
John Woo,Action Mystery Sci-Fi Thriller,Ivana Milicevic,Joe Morton,Callum Rennie,paycheck
Jon Avnet,Drama Romance,Joe Mantegna,Stockard Channing,Raymond Cruz,up close & personal
Sam Fell,Adventure Animation Comedy Family Fantasy,Emma Watson,Matthew Broderick,Frank Langella,the tale of despereaux
unknown,Comedy Romance,Bianca Kajlich,Oliver Hudson,Adhir Kalyan,rules of engagement            
Kevin Donovan,Action Comedy Sci-Fi,Romany Malco,Debi Mazar,Ritchie Coster,the tuxedo
Geoff Murphy,Action Thriller,Peter Greene,Brenda Bakke,Patrick Kilpatrick,under siege 2: dark territory
